request_id,timestamp,user_query,intent,available_tools,chosen_tool,oracle_tool,tool_result,success,failure_type,cost,latency_ms,requires_approval,approval_granted,unsafe_action,human_rating,policy_version,propensity_score,reward
req_00000,2026-01-01T00:00:00+00:00,Draft a response for customer C10000 about policy,draft_reply,audit.export_case|billing.get_invoice|billing.issue_refund|docs.search_policy|email.draft_reply|support.create_task,email.draft_reply,email.draft_reply,resolved,True,,0.0107,61,False,True,False,5,historical_v1,0.72973,1.0
req_00001,2026-01-01T00:06:00+00:00,Can you handle this account issue quickly for C10001?,ambiguous,billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task,docs.search_policy,docs.search_policy,resolved,True,,0.0397,105,False,True,False,5,historical_v1,0.72973,1.0
req_00002,2026-01-01T00:12:00+00:00,Please refund charge C10002,refund_request,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.search_tickets,billing.issue_refund,billing.issue_refund,resolved,True,,0.5042,427,True,True,False,5,historical_v1,0.542714,1.0
req_00003,2026-01-01T00:18:00+00:00,Please refund charge C10003,refund_request,audit.export_case|billing.get_invoice|billing.issue_refund|email.send_reply|support.search_tickets,billing.issue_refund,billing.issue_refund,not_resolved,False,unsafe_action,0.4728,470,True,False,True,1,historical_v1,0.617143,0.2
req_00004,2026-01-01T00:24:00+00:00,I need invoice details for order C10004,invoice_question,billing.get_invoice|docs.search_policy|email.draft_reply|email.send_reply|support.search_tickets,support.search_tickets,billing.get_invoice,not_resolved,False,wrong_tool_selected,0.0313,133,False,True,False,1,historical_v1,0.057143,0.2
req_00005,2026-01-01T00:30:00+00:00,Create a task: password reset keeps failing for C10005,new_issue,audit.export_case|crm.search_customer|docs.search_policy|email.send_reply|support.create_task|support.search_tickets,docs.search_policy,support.create_task,not_resolved,False,wrong_tool_selected,0.0367,104,False,True,False,1,historical_v1,0.054054,0.2
req_00006,2026-01-01T00:36:00+00:00,Any updates on support ticket C10006?,ticket_status,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,support.search_tickets,support.search_tickets,resolved,True,,0.0304,113,False,True,False,5,historical_v1,0.658537,1.0
req_00007,2026-01-01T00:42:00+00:00,I need invoice details for order C10007,invoice_question,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,billing.get_invoice,billing.get_invoice,resolved,True,,0.0527,142,False,True,False,5,historical_v1,0.627907,1.0
req_00008,2026-01-01T00:48:00+00:00,Find account info for customer C10008,customer_lookup,audit.export_case|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task,crm.search_customer,crm.search_customer,resolved,True,,0.0187,87,False,True,False,5,historical_v1,0.72973,1.0
req_00009,2026-01-01T00:54:00+00:00,I need invoice details for order C10009,invoice_question,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.send_reply|support.create_task|support.search_tickets,billing.get_invoice,billing.get_invoice,resolved,True,,0.0577,162,False,True,False,5,historical_v1,0.658537,1.0
req_00010,2026-01-01T01:00:00+00:00,What policy applies to chargebacks for C10010?,policy_lookup,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply,email.draft_reply,docs.search_policy,not_resolved,False,policy_skipped,0.0101,78,False,True,False,1,historical_v1,0.054054,0.2
req_00011,2026-01-01T01:06:00+00:00,Export full case history for C10011,audit_export,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.send_reply|support.create_task,audit.export_case,audit.export_case,resolved,True,,0.7956,691,True,True,False,5,historical_v1,0.692308,1.0
req_00012,2026-01-01T01:12:00+00:00,Any updates on support ticket C10012?,ticket_status,audit.export_case|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,support.create_task,support.search_tickets,not_resolved,False,expensive_tool_selected,0.0886,209,False,True,False,2,historical_v1,0.054054,0.4
req_00013,2026-01-01T01:18:00+00:00,Draft a response for customer C10013 about policy,draft_reply,billing.get_invoice|billing.issue_refund|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,email.draft_reply,email.draft_reply,resolved,True,,0.0114,61,False,True,False,5,historical_v1,0.613636,1.0
req_00014,2026-01-01T01:24:00+00:00,I need invoice details for order C10014,invoice_question,billing.get_invoice|email.send_reply|support.create_task|support.search_tickets,billing.get_invoice,billing.get_invoice,resolved,True,,0.0476,117,False,True,False,5,historical_v1,0.818182,1.0
